code,dayTime,type,entryMethod,exitMethod,MINI_CHECK_flg,realEntryVolume,entry_money
3445,2017/7/31,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,0,200,1000000
3445,2017/7/31,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,37,1000000
6840,2017/7/31,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,0,24000,1000000
6840,2017/7/31,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,1,14,1000000
6840,2017/7/31,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,17900,1000000
6840,2017/7/31,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,1,88,1000000
7575,2017/7/31,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,0,1100,1000000
7575,2017/7/31,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,1,11,1000000
9438,2017/7/31,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,0,12900,1000000
9438,2017/7/31,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,1,62,1000000
9438,2017/7/31,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,10100,1000000
9438,2017/7/31,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,16,1000000
9438,2017/7/31,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,0,10100,1000000
9438,2017/7/31,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,16,1000000
