"code","dayTime","type","entryMethod","exitMethod","MINI_CHECK_flg","realEntryVolume","entry_money"
"4736","2017-08-21","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","0","100","11000"
"4736","2017-08-21","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","1","6","11000"
"4736","2017-08-21","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique06.IDO_HEKIN_2_L","0","1200","11000"
"4736","2017-08-21","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique06.IDO_HEKIN_2_L","1","27","11000"
"6327","2017-08-21","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","0","14100","11000"
"6327","2017-08-21","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","1","11000"
"6327","2017-08-21","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","0","10000","11000"
"6327","2017-08-21","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","28","11000"
"7022","2017-08-21","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","0","200","11000"
"7022","2017-08-21","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","61","11000"
"7022","2017-08-21","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","0","100","11000"
"7022","2017-08-21","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","74","11000"
"7022","2017-08-21","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique04.MACD_M_S_OVER0","1","44","11000"
"8885","2017-08-21","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","0","100","11000"
"8885","2017-08-21","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","1","90","11000"
"8885","2017-08-21","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","0","100","11000"
"8885","2017-08-21","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","4","11000"
"8885","2017-08-21","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","36","11000"
