code,dayTime,type,entryMethod,exitMethod,MINI_CHECK_flg,realEntryVolume,entry_money
2124,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,0,500,1000000
2124,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,1,58,1000000
2154,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,0,400,1000000
2154,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,1,35,1000000
2163,2017/7/28,DD,technique.Technique04.MACD_M_L_OVER0,technique.Technique04.MACD_M_S_OVER0,0,700,1000000
2163,2017/7/28,DD,technique.Technique04.MACD_M_L_OVER0,technique.Technique04.MACD_M_S_OVER0,1,42,1000000
2163,2017/7/28,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique04.MACD_M_S_OVER0,0,700,1000000
2163,2017/7/28,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique04.MACD_M_S_OVER0,1,42,1000000
2163,2017/7/28,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,0,1000000
2163,2017/7/28,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,1,8,1000000
2176,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,1400,1000000
2176,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,15,1000000
2181,2017/7/28,DD,technique.Technique04.MACD_M_L_OVER0,technique.Technique04.MACD_M_S_OVER0,0,400,1000000
2181,2017/7/28,DD,technique.Technique04.MACD_M_L_OVER0,technique.Technique04.MACD_M_S_OVER0,1,83,1000000
2181,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,400,1000000
2181,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,83,1000000
2181,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,0,400,1000000
2181,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,83,1000000
2181,2017/7/28,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique04.MACD_M_S_OVER0,0,400,1000000
2181,2017/7/28,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique04.MACD_M_S_OVER0,1,83,1000000
2303,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,0,600,1000000
2303,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,1,41,1000000
2303,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,600,1000000
2303,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,41,1000000
2303,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,0,600,1000000
2303,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,1,41,1000000
2303,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,0,600,1000000
2303,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,41,1000000
2303,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique06.IDO_HEKIN_2_L,0,600,1000000
2303,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique06.IDO_HEKIN_2_L,1,41,1000000
2304,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,2300,1000000
2304,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,5,1000000
2315,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,18500,1000000
2315,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,19,1000000
2315,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,0,18500,1000000
2315,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,1,19,1000000
2315,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,0,18500,1000000
2315,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,19,1000000
2315,2017/7/28,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,100,1000000
2315,2017/7/28,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,1,86,1000000
2321,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,0,5100,1000000
2321,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,1,82,1000000
2321,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique06.IDO_HEKIN_2_L,0,5100,1000000
2321,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique06.IDO_HEKIN_2_L,1,82,1000000
2321,2017/7/28,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,0,1000000
2321,2017/7/28,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,1,52,1000000
2413,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,300,1000000
2413,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,33,1000000
2413,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,0,300,1000000
2413,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,1,33,1000000
2413,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,0,300,1000000
2413,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,33,1000000
2415,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,600,1000000
2415,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,20,1000000
2427,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,0,100,1000000
2427,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,1,82,1000000
2471,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,0,300,1000000
2471,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,40,1000000
2498,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,0,800,1000000
2498,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,22,1000000
3192,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,1900,1000000
3192,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,65,1000000
3192,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,0,1900,1000000
3192,2017/7/28,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,65,1000000
3193,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,0,300,1000000
3193,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,1,87,1000000
3199,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,0,400,1000000
3199,2017/7/28,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,1,8,1000000
3241,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,2700,1000000
3241,2017/7/28,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,94,1000000
3264,2017/7/28,DD,technique.Technique04.MACD_M_L_OVER0,technique.Technique04.MACD_M_S_OVER0,0,2800,1000000
