code,dayTime,type,entryMethod,exitMethod,MINI_CHECK_flg,realEntryVolume,entry_money
2429,2017/8/8,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,0,1500,11000
2429,2017/8/8,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,3,11000
3085,2017/8/8,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,1500,11000
3085,2017/8/8,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,70,11000
4290,2017/8/8,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,0,2500,11000
4290,2017/8/8,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,1,56,11000
4290,2017/8/8,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,20,11000
4369,2017/8/8,DD,technique.Technique04.MACD_M_L,technique.Technique04.MACD_M_S_OVER0,1,12,11000
4369,2017/8/8,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique04.MACD_M_S_OVER0,1,4,11000
4927,2017/8/8,DD,technique.Technique04.MACD_M_L_OVER0,technique.Technique04.MACD_M_S_OVER0,0,2700,11000
4927,2017/8/8,DD,technique.Technique04.MACD_M_L_OVER0,technique.Technique04.MACD_M_S_OVER0,1,27,11000
4927,2017/8/8,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,2300,11000
4927,2017/8/8,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,89,11000
4927,2017/8/8,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,2300,11000
4927,2017/8/8,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,1,89,11000
7172,2017/8/8,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,0,1100,11000
7172,2017/8/8,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique06.IDO_HEKIN_2_L,1,67,11000
7172,2017/8/8,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique06.IDO_HEKIN_2_L,0,1100,11000
7172,2017/8/8,DD,technique.Technique06.IDO_HEKIN_3_S,technique.Technique06.IDO_HEKIN_2_L,1,70,11000
9478,2017/8/8,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,0,4500,11000
9478,2017/8/8,DD,technique.Technique06.IDO_HEKIN_1_S,technique.Technique04.MACD_M_S_OVER0,1,13,11000
